Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.51      0.95     0.01  1000000     0.00     0.00  std::reverse_iterator<std::_Deque_iterator<common::Point, common::Point&, common::Point*> >::operator++()
  0.51      0.95     0.01       17     0.29     0.29  std::_Deque_base<common::Point, std::allocator<common::Point> >::_M_deallocate_map(common::Point**, unsigned long)
  0.51      0.96     0.01       14     0.36     0.36  std::_Deque_iterator<common::Point, common::Point const&, common::Point const*>::_Deque_iterator(std::_Deque_iterator<common::Point, common::Point const&, common::Point const*> const&)
  0.51      0.96     0.01        5     1.00     1.00  std::_Deque_base<common::Point, std::allocator<common::Point> >::_Deque_impl_data::_Deque_impl_data()
  0.51      0.97     0.01        2     2.50     2.50  common::Point const* std::reverse_iterator<std::_Deque_iterator<common::Point, common::Point const&, common::Point const*> >::_S_to_pointer<std::_Deque_iterator<common::Point, common::Point const&, common::Point const*> >(std::_Deque_iterator<common::Point, common::Point const&, common::Point const*>)
  0.51      0.97     0.01        2     2.50     2.50  std::_Deque_iterator<common::Point, common::Point&, common::Point*> std::move_backward<std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*> >(std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*>)
  0.51      0.98     0.01        1     5.00    72.57  void std::__unguarded_insertion_sort<std::_Deque_iterator<common::Point, common::Point&, common::Point*>, __gnu_cxx::__ops::_Iter_less_iter>(std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*>, __gnu_cxx::__ops::_Iter_less_iter)
  0.00      0.98     0.00  6062500     0.00     0.00  double&& std::forward<double>(std::remove_reference<double>::type&)
  0.00      0.98     0.00  3981077     0.00     0.00  std::operator<(std::_Deque_iterator<common::Point, common::Point&, common::Point*> const&, std::_Deque_iterator<common::Point, common::Point&, common::Point*> const&)
  0.00      0.98     0.00  3696003     0.00     0.00  bool __gnu_cxx::__ops::_Val_less_iter::operator()<common::Point, std::_Deque_iterator<common::Point, common::Point&, common::Point*> >(common::Point&, std::_Deque_iterator<common::Point, common::Point&, common::Point*>) const
  0.00      0.98     0.00  2311684     0.00     0.00  std::operator+(std::_Deque_iterator<common::Point, common::Point&, common::Point*> const&, long)
  0.00      0.98     0.00  2000017     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.98     0.00  2000002     0.00     0.00  std::reverse_iterator<std::_Deque_iterator<common::Point, common::Point&, common::Point*> >::base() const
  0.00      0.98     0.00  2000000     0.00     0.00  double std::uniform_real_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      0.98     0.00  2000000     0.00     0.00  double std::uniform_real_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_real_distribution<double>::param_type const&)
  0.00      0.98     0.00  2000000     0.00     0.00  std::deque<common::Point, std::allocator<common::Point> >::insert(std::_Deque_iterator<common::Point, common::Point const&, common::Point const*>, common::Point const&)
